startTime,endTime,chapterName
0,1465,preface
1465,2425,law_1_never_outshine_the_master
2425,2940,law_2_never_put_too_much_trust_in_friends_learn_how_to_use_enemies
2940,4398,law_3_conceal_your_intentions
4398,4694,law_4_always_say_less_than_necessary
4694,5160,law_5_so_much_depends_on_reputation_guard_it_with_your_life
5160,6172,law_6_court_attention_at_all_cost
6172,6660,law_7_get_others_to_do_the_work_for_you_but_always_take_the_credit
6660,7208,law_8_make_other_people_come_to_you_use_bait_if_necessary
7208,7567,law_9_win_through_your_actions_never_through_argument
7567,8260,law_10_infection_avoid_the_unhappy_and_unlucky
8260,8707,law_11_learn_to_keep_people_dependent_on_you
8707,9215,law_12_use_selective_honesty_and_generosity_to_disarm_your_victim
9215,9725,law_13_when_asking_for_help_appeal_to_peoples_self_interest_never_to_their_mercy_or_gratitude
9725,10343,law_14_pose_as_a_friend_work_as_a_spies
10343,10853,law_15_crush_your_enemy_totally
10853,11335,law_16_use_absence_to_increase_respect_and_honor
11335,12037,law_17_keep_others_in_suspense_cultivate_an_air_of_unpredictability
12037,12468,law_18_do_not_build_fortresses_to_protect_yourself_isolation_is_dangerous
12468,13099,law_19_know_who_youre_dealing_with_do_not_offend_the_wrong_person
13099,14228,law_20_do_not_commit_to_anyone
14228,14863,law_21_play_a_sucker_to_catch_a_sucker_seem_dumber_than_your_mark
14863,15465,law_22_use_the_surrender_tactic_transform_weakness_into_power
15465,15878,law_23_concentrate_your_forces
15878,16598,law_24_play_the_perfect_courtier
16598,17158,law_25_recreate_yourself
17158,18210,law_26_keep_your_hands_clean
18210,19365,law_27_play_on_peoples_need_to_believe_to_create_a_cultlike_following
19365,20040,law_28_enter_action_with_boldness
20040,20725,law_29_plan_all_the_way_to_the_end
20725,21388,law_30_make_your_accomplishments_seem_effortless
21388,22180,law_31_control_the_options_get_others_to_play_with_the_cards_you_deal
22180,22928,law_32_play_to_peoples_fantasies
22928,23550,law_33_discover_each_mans_thumb_screw
23550,24160,law_34_be_royal_in_your_own_fashion_act_like_a_king_to_be_treated_like_one
24160,25385,law_35_master_the_art_of_timing
25385,25919,law_36_disdain_things_you_cannot_have_ignoring_them_is_the_best_revenge
25919,26540,law_37_create_compelling_spectacles
26540,27114,law_38_think_as_you_like_but_behave_like_others
27114,27610,law_39_stir_up_waters_to_catch_fish
27610,28355,law_40_despise_the_free_lunch
28355,29048,law_41_avoid_stepping_into_a_great_mans_shoes
29048,29765,law_42_strike_the_shepherd_and_the_sheep_will_scatter
29765,30505,law_43_work_on_the_hearts_and_minds_of_others
30505,31375,law_44_disarm_and_infuriate_with_the_mirror_effect
31375,32128,law_45_preach_the_need_for_change_but_never_reform_to_quickly
32128,33034,law_46_never_appear_to_perfect
33034,33569,law_47_do_not_go_past_the_mark_you_aimed_for_in_victory_learn_when_to_stop
33569,35120,law_48_assume_formlessness